study_doc_id,document_hash_sha256,format,annex,rule_id,annex_item,finding_type,confidence,page_or_section,missing_element,matched_text,human_review_status,human_review_note
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,html,Annex I,ANNEX_I_PART_A_09_FINANCIAL_CONDITION,"Annex I, Part A",potential_disclosure_gap,medium,Financial condition,financial condition disclosure,,pending_review,Pending Sebastian legal review.
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,html,Annex I,ANNEX_I_PART_B_02_DESIGN_DEVELOPMENT_PERSONS,"Annex I, Part B",potential_disclosure_gap,high,Design and development,persons involved in design and development,"ken sale rounds. Funds are held in multi-signature wallets and allocated as follows: 35% Product and Protocol Development, 35% Liquidity and Market-Making, 30% Operations, Legal, and Compliance. The company has no outstanding debt",pending_review,Pending Sebastian legal review.
WP-003,9b33a5d568cd54ccf4071fefe52127b001192298e57e2fed5a208a2b374947eb,xhtml,Annex I,ANNEX_I_PART_A_05_CONTACT_PHONE_EMAIL,"Annex I, Part A",potential_disclosure_gap,high,Contact information,both contact telephone number and email address,A A.6 Legal entity identifier N/A A.7 Another identifier required pursuant to applicable national law N/A A.8 Contact telephone number N/A A.9 E-mail address N/A A.10 Response time (Days) N/A A.11 Parent company N/A A.12 Member,pending_review,Pending Sebastian legal review.
WP-003,9b33a5d568cd54ccf4071fefe52127b001192298e57e2fed5a208a2b374947eb,xhtml,Annex I,ANNEX_I_PART_A_06_CONTACT_RESPONSE_PERIOD,"Annex I, Part A, item 6",potential_disclosure_gap,high,Contact information,period of days within which an investor will receive an answer,A A.6 Legal entity identifier N/A A.7 Another identifier required pursuant to applicable national law N/A A.8 Contact telephone number N/A A.9 E-mail address N/A A.10 Response time (Days) N/A A.11 Parent company N/A A.12 Member,pending_review,Pending Sebastian legal review.
WP-004,07456475e29c05cbeb5b27a99fa6b66f0278f2e43eadf4ad5946c39f342f1aa6,xhtml,Annex I,ANNEX_I_PART_A_05_CONTACT_PHONE_EMAIL,"Annex I, Part A",potential_disclosure_gap,high,Contact information,both contact telephone number and email address,A A.6 Legal entity identifier N/A A.7 Another identifier required pursuant to applicable national law N/A A.8 Contact telephone number N/A A.9 E-mail address N/A A.10 Response time (Days) N/A A.11 Parent company N/A A.12 Member,pending_review,Pending Sebastian legal review.
WP-004,07456475e29c05cbeb5b27a99fa6b66f0278f2e43eadf4ad5946c39f342f1aa6,xhtml,Annex I,ANNEX_I_PART_A_06_CONTACT_RESPONSE_PERIOD,"Annex I, Part A, item 6",potential_disclosure_gap,high,Contact information,period of days within which an investor will receive an answer,A A.6 Legal entity identifier N/A A.7 Another identifier required pursuant to applicable national law N/A A.8 Contact telephone number N/A A.9 E-mail address N/A A.10 Response time (Days) N/A A.11 Parent company N/A A.12 Member,pending_review,Pending Sebastian legal review.
WP-005,064121584d596e1f5143ad230efb838b68e7109c77811f2c143330affb6f161b,xhtml,Annex I,ANNEX_I_PART_A_05_CONTACT_PHONE_EMAIL,"Annex I, Part A",potential_disclosure_gap,high,Contact information,both contact telephone number and email address,A A.6 Legal entity identifier N/A A.7 Another identifier required pursuant to applicable national law N/A A.8 Contact telephone number N/A A.9 E-mail address N/A A.10 Response time (Days) N/A A.11 Parent company N/A A.12 Member,pending_review,Pending Sebastian legal review.
WP-005,064121584d596e1f5143ad230efb838b68e7109c77811f2c143330affb6f161b,xhtml,Annex I,ANNEX_I_PART_A_06_CONTACT_RESPONSE_PERIOD,"Annex I, Part A, item 6",potential_disclosure_gap,high,Contact information,period of days within which an investor will receive an answer,A A.6 Legal entity identifier N/A A.7 Another identifier required pursuant to applicable national law N/A A.8 Contact telephone number N/A A.9 E-mail address N/A A.10 Response time (Days) N/A A.11 Parent company N/A A.12 Member,pending_review,Pending Sebastian legal review.
WP-007,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,html,Annex I,ANNEX_I_PART_A_02_REGISTERED_ADDRESS,"Annex I, Part A",potential_disclosure_gap,medium,Offeror information,registered address or head office,,pending_review,Pending Sebastian legal review.
WP-007,d75e75263e886b5b25538a36ccd72ed57289718492fc708590935d44ee9301ed,html,Annex I,ANNEX_I_PART_A_03_REGISTRATION_DATE,"Annex I, Part A",potential_disclosure_gap,medium,Offeror information,"date of registration, incorporation, or establishment",,pending_review,Pending Sebastian legal review.
