study_doc_id,document_hash_sha256,rule_id,annex_item,human_label,reviewer_id,reviewed_at,source_pinpoint,review_note
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ANNEX_I_PART_A_01_LEGAL_FORM,"Annex I, Part A",pending,,,,
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ANNEX_I_PART_A_02_REGISTERED_ADDRESS,"Annex I, Part A",pending,,,,
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ANNEX_I_PART_A_03_REGISTRATION_DATE,"Annex I, Part A",pending,,,,
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ANNEX_I_PART_A_04_LEI_OR_IDENTIFIER,"Annex I, Part A",pending,,,,
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ANNEX_I_PART_A_05_CONTACT_PHONE_EMAIL,"Annex I, Part A",pending,,,,
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ANNEX_I_PART_A_06_CONTACT_RESPONSE_PERIOD,"Annex I, Part A, item 6",pending,,,,
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ANNEX_I_PART_A_07_MANAGEMENT_BODY,"Annex I, Part A",pending,,,,
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ANNEX_I_PART_A_08_CONFLICTS_OF_INTEREST,"Annex I, Part A",pending,,,,
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ANNEX_I_PART_A_09_FINANCIAL_CONDITION,"Annex I, Part A",pending,,,,
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ANNEX_I_PART_B_01_ASSET_NAME_ABBREVIATION,"Annex I, Part B",pending,,,,
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ANNEX_I_PART_B_02_DESIGN_DEVELOPMENT_PERSONS,"Annex I, Part B",pending,,,,
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ANNEX_I_PART_B_03_UTILITY_CHARACTERISTICS,"Annex I, Part B",pending,,,,
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ARTICLE_6_05_MANDATORY_WARNINGS,Article 6,pending,,,,
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ARTICLE_6_06_MANAGEMENT_BODY_STATEMENT,Article 6,pending,,,,
WP-001,80eab5f4d73e285d53fca49b074e2aba926ab80f1928d678c4edeb9891fafb6e,ARTICLE_6_07_SUMMARY,Article 6,pending,,,,
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,ANNEX_I_PART_A_01_LEGAL_FORM,"Annex I, Part A",pending,,,,
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,ANNEX_I_PART_A_02_REGISTERED_ADDRESS,"Annex I, Part A",pending,,,,
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,ANNEX_I_PART_A_03_REGISTRATION_DATE,"Annex I, Part A",pending,,,,
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,ANNEX_I_PART_A_04_LEI_OR_IDENTIFIER,"Annex I, Part A",pending,,,,
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,ANNEX_I_PART_A_05_CONTACT_PHONE_EMAIL,"Annex I, Part A",pending,,,,
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,ANNEX_I_PART_A_06_CONTACT_RESPONSE_PERIOD,"Annex I, Part A, item 6",pending,,,,
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,ANNEX_I_PART_A_07_MANAGEMENT_BODY,"Annex I, Part A",pending,,,,
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,ANNEX_I_PART_A_08_CONFLICTS_OF_INTEREST,"Annex I, Part A",pending,,,,
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,ANNEX_I_PART_A_09_FINANCIAL_CONDITION,"Annex I, Part A",pending,,,,
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,ANNEX_I_PART_B_01_ASSET_NAME_ABBREVIATION,"Annex I, Part B",pending,,,,
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,ANNEX_I_PART_B_02_DESIGN_DEVELOPMENT_PERSONS,"Annex I, Part B",pending,,,,
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,ANNEX_I_PART_B_03_UTILITY_CHARACTERISTICS,"Annex I, Part B",pending,,,,
WP-002,1a570493c05f656af68350b2d008793b7e5b0a1d5deb5df252fc5803078ef1e2,ARTICLE_6_05_MANDATORY_WARNINGS,Article 6,pending,,,,
